apparentTemperature,cloudCover,dewPoint,humidity,ozone,precipIntensity,precipProbability,precipType,pressure,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
41.09,0.8,44.12,0.98,402.31,0.0045,0.17,rain,1016.14,44.61,1523746800,0,1.63,201,8.03,6.28
41.13,0.87,43.42,0.95,400.85,0.0067,0.21,rain,1016.24,44.87,1523750400,0,1.63,202,8.49,6.77
41.34,0.95,42.78,0.91,398.86,0.0053,0.19,rain,1016.14,45.22,1523754000,0,1.63,200,9.26,7.19
41.04,0.99,42.55,0.91,396.09,0.0029,0.14,rain,1015.94,45.13,1523757600,0,1.63,199,10.21,7.56
40.65,1,42.63,0.92,392.44,0.0017,0.1,rain,1015.83,44.88,1523761200,0,,200,10.79,7.75
40.5,1,42.71,0.92,386.88,0.0013,0.09,rain,1015.84,44.75,1523764800,0,,205,10.6,7.73
40.97,0.99,42.79,0.92,380.36,0.0012,0.09,rain,1015.95,45.1,1523768400,0,,211,10.04,7.63
41.77,0.99,42.94,0.9,375.35,0.0012,0.09,rain,1016.06,45.74,1523772000,0,,215,9.74,7.6
43.04,0.9,43.27,0.87,373.02,0.0009,0.07,rain,1016.16,46.88,1523775600,1,,213,10.14,7.81
44.18,0.78,43.66,0.85,372.15,0.0007,0.06,rain,1016.25,47.93,1523779200,1,,208,10.82,8.17
45.07,0.69,43.94,0.84,370.95,0.0005,0.05,rain,1016.32,48.71,1523782800,2,,203,11,8.29
45.87,0.67,44.02,0.82,368.41,0.0002,0.04,rain,1016.41,49.25,1523786400,2,,199,10.08,7.97
46.84,0.68,43.98,0.8,365.52,0,0,,1016.47,49.86,1523790000,2,,195,8.67,7.42
50.52,0.72,43.82,0.78,363.11,0,0,,1016.42,50.52,1523793600,2,,190,7.8,6.96
51.58,0.81,43.55,0.74,361.83,0,0,,1016.18,51.58,1523797200,2,,187,8.09,6.74
51.87,0.92,43.16,0.72,361.15,0.0003,0.03,rain,1015.84,51.87,1523800800,1,,184,8.93,6.62
51.43,1,42.74,0.72,360.09,0.0004,0.05,rain,1015.56,51.43,1523804400,1,,180,9.5,6.53
50.43,1,42.35,0.74,358.35,0.0007,0.06,rain,1015.36,50.43,1523808000,0,,173,9.67,6.54
46.5,0.99,41.92,0.76,356.31,0.0012,0.08,rain,1015.19,49.27,1523811600,0,,164,9.62,6.58
45.76,0.95,41.42,0.76,353.83,0.0014,0.09,rain,1015.1,48.54,1523815200,0,,155,9.06,6.32
45.38,0.79,40.81,0.76,350.66,0.0008,0.07,rain,1015.11,47.86,1523818800,0,,149,7.62,5.54
45.11,0.57,40.15,0.77,347.09,0,0,,1015.16,47.03,1523822400,0,,144,5.67,4.45
44.76,0.41,39.6,0.78,343.8,0,0,,1015.19,46.12,1523826000,0,,139,4.28,3.57
44.32,0.36,39.35,0.79,340.98,0,0,,1015.14,45.39,1523829600,0,,134,4,3.15
45.02,0.36,39.19,0.8,338.41,0,0,,1015.06,45.02,1523833200,0,,129,4.26,2.95
44.95,0.35,39.11,0.8,336.4,0,0,,1014.99,44.95,1523836800,0,,121,4.4,2.83
44.94,0.31,38.97,0.79,334.86,0,0,,1014.94,44.94,1523840400,0,,110,4.06,2.74
44.69,0.26,38.88,0.8,333.71,0,0,,1014.91,44.69,1523844000,0,,97,3.62,2.7
44.35,0.24,38.89,0.81,333.11,0,0,,1014.92,44.35,1523847600,0,,88,3.47,2.75
43.01,0.29,38.97,0.82,333.05,0,0,,1015.03,44.11,1523851200,0,,87,3.94,3.01
42.92,0.36,39.14,0.82,333.5,0,0,,1015.19,44.33,1523854800,0,,90,4.7,3.34
43.88,0.42,39.54,0.8,334.21,0,0,,1015.39,45.28,1523858400,0,,92,5.12,3.47
46.23,0.44,40.35,0.77,335.3,0,0,,1015.64,47.04,1523862000,1,,84,4.85,3.09
49.11,0.44,41.4,0.75,336.68,0,0,,1015.92,49.11,1523865600,1,,74,4.24,2.51
50.91,0.42,42.29,0.72,337.92,0,0,,1016.19,50.91,1523869200,2,,78,3.77,2.18
52.44,0.36,42.85,0.7,339.27,0,0,,1016.46,52.44,1523872800,3,,113,3.64,2.36
54.12,0.28,43.21,0.66,340.58,0,0,,1016.78,54.12,1523876400,3,,166,3.74,2.74
55.64,0.21,43.53,0.64,340.91,0,0,,1016.97,55.64,1523880000,3,,205,4.17,2.97
57.05,0.15,43.92,0.61,339.67,0,0,,1017.03,57.05,1523883600,3,,215,4.37,3.11
57.83,0.1,44.25,0.61,337.46,0,0,,1017,57.83,1523887200,2,,213,4.48,3.23
57.78,0.06,44.45,0.61,335.25,0,0,,1017.08,57.78,1523890800,1,,210,4.56,3.27
56.61,0.05,44.37,0.64,332.75,0,0,,1017.33,56.61,1523894400,1,,214,4.63,3.18
55.03,0.05,44.14,0.67,330.2,0,0,,1017.69,55.03,1523898000,0,,217,4.86,3.03
53.7,0.05,44.04,0.7,329.03,0,0,,1018.13,53.7,1523901600,0,,214,5.03,3.14
53.05,0.03,44.18,0.72,329.93,0,0,,1018.67,53.05,1523905200,0,,190,5.14,3.29
52.35,0.02,44.42,0.74,332.2,0.0002,0.06,rain,1019.28,52.35,1523908800,0,,255,5.4,4.77
51.67,0.04,44.64,0.77,335.14,0.0005,0.07,rain,1019.88,51.67,1523912400,0,,247,5.79,5.55
51.13,0.14,44.89,0.79,339.38,0.0004,0.07,rain,1020.38,51.13,1523916000,0,,279,6,5.64
50.9,0.28,45.12,0.81,344.32,0,0,,1020.87,50.9,1523919600,0,,238,6.11,5.61
