apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,visibility,windBearing,windSpeed,precipType,precipAccumulation
37.11,0.14,39.02,0.94,clear-night,0,0,1010.06,Clear,40.73,1483225200,5.31,253,5.29,,
36.62,0.14,38.63,0.93,clear-night,0,0,1010.06,Clear,40.37,1483228800,5.57,259,5.39,,
36.08,0.14,38.24,0.93,clear-night,0,0,1010.06,Clear,40.02,1483232400,5.83,265,5.55,,
35.51,0.14,37.85,0.93,clear-night,0,0,1010.06,Clear,39.66,1483236000,6.09,270,5.77,,
34.91,0.14,37.46,0.93,clear-night,0,0,1010.06,Clear,39.3,1483239600,6.35,275,6.03,,
34.28,0.14,37.07,0.93,clear-night,0,0,1010.06,Clear,38.95,1483243200,6.61,280,6.34,,
33.63,0.14,36.68,0.93,clear-night,0,0,1010.06,Clear,38.59,1483246800,6.87,284,6.69,,
32.97,0.14,36.29,0.93,clear-night,0,0,1010.06,Clear,38.23,1483250400,7.13,288,7.06,,
32.3,0.14,35.9,0.93,clear-night,0,0,1010.06,Clear,37.88,1483254000,7.39,291,7.47,,
31.63,0.14,35.51,0.92,clear-day,0,0,1010.06,Clear,37.52,1483257600,7.65,294,7.89,,
30.95,0.14,35.13,0.92,clear-day,0,0,1010.06,Clear,37.17,1483261200,7.91,297,8.34,,
29.91,0.21,34.77,0.94,clear-day,0,0,1009.85,Clear,36.28,1483264800,8.98,300,8.26,,
28.28,0.14,34.12,0.97,clear-day,0,0,1009.77,Clear,34.91,1483268400,8.89,297,8.2,,
28.23,0,33.63,0.93,clear-day,0,0,1010.03,Clear,35.32,1483272000,9.11,302,9.22,,
27.25,0.07,31.45,0.88,clear-day,0,0,1010.58,Clear,34.68,1483275600,9.28,326,9.6,,
26.22,0.1,30.61,0.87,clear-day,0,0,1010.84,Clear,34.12,1483279200,9.65,340,10.3,,
26.2,0.22,29.55,0.83,clear-night,0,0,1011.15,Clear,34.07,1483282800,8.44,343,10.18,,
26.06,0.07,28.75,0.82,clear-night,0,0,1011.3,Clear,33.59,1483286400,9.65,340,9.29,,
24.52,0.13,28.67,0.85,clear-night,0,0,1011.84,Clear,32.58,1483290000,9.68,335,9.85,,
25.26,0.14,27.85,0.82,clear-night,0,0,1012.47,Clear,32.74,1483293600,8.55,329,8.84,,
25.1,0,27.3,0.8,clear-night,0,0,1013.22,Clear,32.67,1483297200,8.55,328,8.98,,
26.06,0.1,26.79,0.76,clear-night,0,0,1013.47,Clear,33.64,1483300800,9.7,329,9.4,,
28.43,0,26.18,0.7,clear-night,0,0,1013.48,Clear,35.12,1483304400,9.68,325,8.38,,
29.21,0.17,25.99,0.66,clear-night,0,0,1013.55,Clear,36.21,1483308000,9.68,323,9.45,,
29.91,0.21,34.77,0.94,clear-night,0,0,1009.85,Clear,36.28,1483311600,8.98,300,8.26,,
28.28,0.14,34.12,0.97,clear-night,0,0,1009.77,Clear,34.91,1483315200,8.89,297,8.2,,
28.23,0,33.63,0.93,clear-night,0,0,1010.03,Clear,35.32,1483318800,9.11,302,9.22,,
27.25,0.07,31.45,0.88,clear-night,0,0,1010.58,Clear,34.68,1483322400,9.28,326,9.6,,
26.22,0.1,30.61,0.87,clear-night,0,0,1010.84,Clear,34.12,1483326000,9.65,340,10.3,,
26.2,0.22,29.55,0.83,clear-night,0,0,1011.15,Clear,34.07,1483329600,8.44,343,10.18,,
26.06,0.07,28.75,0.82,clear-night,0,0,1011.3,Clear,33.59,1483333200,9.65,340,9.29,,
24.52,0.13,28.67,0.85,clear-night,0,0,1011.84,Clear,32.58,1483336800,9.68,335,9.85,,
