Day of week,Wholesale ($/kWh),Retail ($/kWh),Wholesale w variance ($/kWh),Retail w variance ($/kWh),Bldg Load (kWh),Wind Production (kWh),PV generation (kWh),GHI (Irradiance),apparentTemperature,cloudCover,precipIntensity,windSpeed
1,0.026018309,0.08586042,0.026018309,0.08586042,2526.4,1656.98,0,0,37.11,0.14,0,5.29
1,0.025628082,0.084572669,0.025628082,0.084572669,2460.6,1651.79,0,0,36.62,0.14,0,5.39
1,0.025428425,0.083913802,0.025428425,0.083913802,2537.3,1662.12,0,0,36.08,0.14,0,5.55
1,0.025456715,0.084007159,0.025456715,0.084007159,2655.1,1658.23,0,0,35.51,0.14,0,5.77
1,0.025887651,0.085429249,0.025887651,0.085429249,2579.1,1646.75,0,0,34.91,0.14,0,6.03
1,0.026496462,0.087438323,0.026496462,0.087438323,2740.4,1643.43,0,0,34.28,0.14,0,6.34
1,0.027373015,0.09033095,0.027373015,0.09033095,2550.1,1660.68,0,0,33.63,0.14,0,6.69
1,0.028987251,0.095657929,0.028987251,0.095657929,2692.2,1638.63,0,0,32.97,0.14,0,7.06
1,0.029841228,0.098476054,0.029841228,0.098476054,2666.5,1605.56,2,0.002220209,32.3,0.14,0,7.47
1,0.029714261,0.09805706,0.029714261,0.09805706,2509.6,1593.05,31,0.022472087,31.63,0.14,0,7.89
1,0.029713189,0.098053525,0.029713189,0.098053525,2547.2,1533.07,86,0.059466238,30.95,0.14,0,8.34
1,0.029458262,0.097212264,0.029458262,0.097212264,2540.7,1472.59,137,0.093561752,29.91,0.21,0,8.26
1,0.029140763,0.096164519,0.029140763,0.096164519,2597.3,1460.05,167,0.113415364,28.28,0.14,0,8.2
1,0.028934599,0.095484178,0.028934599,0.095484178,2743.9,1481.36,164,0.111219402,28.23,0,0,9.22
1,0.029039784,0.095831288,0.029039784,0.095831288,2551.2,1511.23,125,0.084885817,27.25,0.07,0,9.6
1,0.029240671,0.096494214,0.029240671,0.096494214,2590,1576.53,63,0.043528841,26.22,0.1,0,10.3
1,0.030307557,0.100014938,0.030307557,0.100014938,2571.4,1689.55,16,0.01094322,26.2,0.22,0,10.18
1,0.031214345,0.103007338,0.031214345,0.103007338,2590.7,1788.25,0,0.000148768,26.06,0.07,0,9.29
1,0.030099489,0.099328313,0.030099489,0.099328313,2478.2,1826.28,0,0,24.52,0.13,0,9.85
1,0.028865561,0.09525635,0.028865561,0.09525635,2625.9,1809.58,0,0,25.26,0.14,0,8.84
1,0.028075861,0.092650341,0.028075861,0.092650341,2596.1,1784.01,0,0,25.1,0,0,8.98
1,0.027672857,0.091320429,0.027672857,0.091320429,2456.7,1756.18,0,0,26.06,0.1,0,9.4
1,0.027167248,0.089651919,0.027167248,0.089651919,2622.9,1727.15,0,0,28.43,0,0,8.38
1,0.026530306,0.087550011,0.026530306,0.087550011,2597.6,1682.43,0,0,29.21,0.17,0,9.45
2,0.025991256,0.086304962,0.027637011,0.101082706,2526.2,1564.5,0,0,29.91,0.21,0,8.26
2,0.025544491,0.083757454,0.03141706,0.081233912,2460.5,1495.81,0,0,28.28,0.14,0,8.2
2,0.025758949,0.083961784,0.026553254,0.092994789,2536.7,1363.41,0,0,28.23,0,0,9.22
2,0.024764797,0.083360109,0.028519077,0.062284344,2654.9,1615.59,0,0,27.25,0.07,0,9.6
2,0.025922132,0.085595147,0.025591385,0.055270603,2578.8,1253.16,0,0,26.22,0.1,0,10.3
2,0.026537564,0.088600896,0.019907654,0.0860096,2740.2,1866.27,0,0,26.2,0.22,0,10.18
2,0.027594728,0.090100272,0.031439293,0.120839791,2550,1511.93,0,0,26.06,0.07,0,9.29
2,0.028883069,0.096128347,0.025975309,0.092760833,2692.4,1758.59,0,0,24.52,0.13,0,9.85
2,0.029814383,0.098532049,0.030786121,0.117240743,2665.5,1592.88,2,0.002210565,25.26,0.14,0,8.84
2,0.030088736,0.09740184,0.029457728,0.110069975,2510.2,1555.55,22,0.019300123,25.1,0,0,8.98
2,0.029676723,0.098831536,0.036865665,0.086464814,2547,1738.72,70,0.062338416,26.06,0.1,0,9.4
2,0.0301056,0.09792425,0.035648406,0.077299322,2541.4,1449.61,154,0.083101258,28.43,0,0,8.38
2,0.028976345,0.097426246,0.034268026,0.080080863,2597.1,1628.58,168,0.131859213,29.21,0.17,0,9.45
2,0.028622241,0.095397826,0.033324751,0.067894012,2744.3,1373.75,153,0.110241459,29.42,0.16,0,10.62
2,0.029265632,0.096192654,0.031628718,0.094417481,2551.8,1263.59,138,0.07458381,30.09,0.33,0,9.28
2,0.029560462,0.09572655,0.026464377,0.092426219,2590.3,1420.8,54,0.049936354,30.31,0.23,0,7.64
2,0.030078802,0.101461162,0.036666325,0.122703545,2571.5,1790.55,16,0.010078089,27.74,0.1,0,8.57
2,0.030807512,0.099859946,0.03062427,0.07336712,2590.7,1562.42,0,0.00014058,26.69,0,0,6.47
2,0.029980482,0.098893087,0.032821503,0.08016514,2477.8,1883.08,0,0,25.75,0,0,7.21
2,0.028863439,0.094157858,0.028444991,0.104016999,2626,1186.38,0,0,25.57,0,0,6.85
2,0.028048324,0.092155744,0.026165505,0.087967301,2595.7,2244.12,0,0,25.23,0,0,6.04
2,0.027433608,0.091646174,0.032027925,0.101854414,2457.6,1866.21,0,0,24.21,0,0,5.91
2,0.027351515,0.088244107,0.022428553,0.067124897,2623.5,1684.28,0,0,23.99,0,0,6.31
2,0.026830391,0.086855983,0.027211263,0.079347858,2596.8,1424.37,0,0,23.38,0.1,0,6.29
3,0.025550828,0.086384255,0.027491789,0.078202722,2526.2,1884.68,0,0,22.56,0.17,0,6.41
3,0.025308022,0.085243885,0.021232311,0.100840561,2461.2,1450.39,0,0,23.64,0.27,0,5.75
3,0.02524686,0.084266543,0.029692077,0.09258908,2536.9,1136.78,0,0,23.37,0.42,0,7.21
3,0.025747861,0.084593487,0.033068193,0.088894778,2655.7,1835.46,0,0,25.08,0.79,0,8.2
3,0.025412907,0.084688894,0.02447467,0.092697913,2579.5,1253.53,0,0,25.87,0.83,0,8.33
3,0.026300897,0.08614491,0.0295017,0.07496552,2740.2,1597.64,0,0,25.64,0.75,0,8.2
3,0.027458661,0.091555957,0.027104837,0.100821323,2550,1872.36,0,0,26.3,0.79,0,8.83
3,0.028884597,0.096355355,0.024656226,0.055726574,2691.2,1271.48,0,0,26.88,0.78,0,10.54
3,0.0298221,0.099428457,0.026593076,0.130523354,2666.6,1567.19,2,0.002369321,27.81,0.83,0,10.28
3,0.029995232,0.098756354,0.037072919,0.096232598,2509.9,1322.64,28,0.022763974,28.64,0.79,0.0014,11.37
3,0.030383558,0.09763733,0.026979241,0.094998643,2547.4,1566.25,60,0.061720109,29.45,0.98,0.0017,11.99
3,0.029261841,0.098379977,0.018854858,0.087269997,2541.4,1192.61,120,0.085903952,30.03,0.83,0,13.1
3,0.029380762,0.096876171,0.028694074,0.089136504,2596.6,1836.97,154,0.115532131,31.07,0.98,0,13.24
3,0.029150497,0.095073558,0.029068729,0.120458692,2743.8,1715.98,214,0.099429192,32.47,0.97,0.0016,12.99
3,0.028824712,0.097134996,0.021256945,0.097838388,2551.2,1602.03,153,0.080180738,33.31,0.94,0.0063,13.09
3,0.02957371,0.097487157,0.026353844,0.100868783,2590.8,1425.99,71,0.043620197,33.97,0.94,0.0075,16.44
3,0.030252419,0.101320546,0.031933981,0.115434565,2571.5,1558.45,16,0.011093985,35.52,0.88,0.0032,19
3,0.031594945,0.101740743,0.029811395,0.090463739,2590.8,2416.62,0,0.000169489,35.93,0.72,0.0008,18.35
3,0.030072272,0.098361057,0.036394823,0.10598747,2478.9,1485.71,0,0,35.99,0.75,0,19.66
3,0.029275047,0.094155191,0.019574932,0.11356045,2625.3,1928.83,0,0,35.03,0.78,0.0018,24.4
3,0.028717871,0.09250344,0.022191157,0.105330802,2595.7,1586.39,0,0,33.79,0.72,0,22.73
3,0.028116889,0.091329957,0.030181275,0.104704595,2456.8,2135.41,0,0,32.85,0.75,0,24.15
3,0.026538095,0.089840027,0.026818699,0.084884374,2623.3,1591.27,0,0,31.21,0.37,0,23.97
3,0.026864612,0.085647707,0.02324183,0.094398356,2597.7,1886.28,0,0,29.69,0.31,0,23.72
4,0.025720991,0.085123134,0.023068147,0.085060247,2526.2,864.24,0,0,28.39,0.3,0,24.18
4,0.025577477,0.085116668,0.02150032,0.061494491,2460,1735.35,0,0,27.82,0.39,0,24.61
4,0.026291582,0.084142533,0.027903566,0.067370358,2537.1,1451.83,0,0,27.73,0.45,0,23.91
4,0.025152373,0.085225097,0.025972582,0.123401538,2655.6,1407.68,0,0,27.82,0.42,0,20.56
4,0.025586234,0.084444759,0.02631793,0.094079576,2579.5,1667.34,0,0,28.84,0.75,0,20.71
4,0.025984438,0.088909353,0.025123632,0.088113647,2740.1,2117.99,0,0,29.04,0.72,0.0014,22.22
4,0.02714236,0.091766539,0.026154262,0.083001978,2550.7,1734.17,0,0,30.01,0.75,0.0025,20.11
4,0.029127872,0.095491669,0.036903189,0.082896607,2691.8,1571,0,0,29.62,0.36,0.0018,20.76
